"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 05 11:35:28 AST 2023","Thu Oct 05 11:35:34 AST 2023","6304","","changeUserDataTests.ChangeUserDataWithAuthorizationTest","","changeUserDataTests.ChangeUserDataWithAuthorizationTest","AuthorizedUserDataShouldBeChangedTest","Изменение данных покупателя","Изменение данных покупателя с авторизацией"
"passed","Thu Oct 05 11:35:45 AST 2023","Thu Oct 05 11:35:46 AST 2023","973","","loginUserTests.NotValidPairEmailPasswordLoginTest","","loginUserTests.NotValidPairEmailPasswordLoginTest","UserShouldNotBeAuthorizedTest","Cоздание покупателя и авторизация с неверным паролем","Нормальное создание покупателя, но авторизация с другим паролем"
"passed","Thu Oct 05 11:35:40 AST 2023","Thu Oct 05 11:35:41 AST 2023","437","","createUserTests.CreateUserNoEmailTest","","createUserTests.CreateUserNoEmailTest","UserWithNoEmailShouldNotBeCreatedTest","Неправильное создание покупателя","Cоздание покупателя без поля Email"
"passed","Thu Oct 05 11:35:44 AST 2023","Thu Oct 05 11:35:45 AST 2023","757","","loginUserTests.NormalLoginTest","","loginUserTests.NormalLoginTest","userShouldBeCreatedTest","Авторизация покупателя","Авторизация покупателя с заполнением всех полей"
"passed","Thu Oct 05 11:35:36 AST 2023","Thu Oct 05 11:35:37 AST 2023","1085","","createOrderTests.AuthorizedUserCreateOrderNoIngredientsTest","","createOrderTests.AuthorizedUserCreateOrderNoIngredientsTest","orderShouldBeCreated","Cоздание заказа","Создание заказа авторизованным пользователем, без ингредиентов"
"passed","Thu Oct 05 11:35:41 AST 2023","Thu Oct 05 11:35:42 AST 2023","1564","","getUserOrdersTests.getAuthorizesdUserOrdersTest","","getUserOrdersTests.getAuthorizesdUserOrdersTest","orderShouldBeCreated","Получение заказов пользователя","Получение заказов авторизованного пользователя"
"passed","Thu Oct 05 11:35:37 AST 2023","Thu Oct 05 11:35:38 AST 2023","1201","","createOrderTests.AuthorizedUserCreateOrderWithIngredientsTest","","createOrderTests.AuthorizedUserCreateOrderWithIngredientsTest","orderShouldBeCreated","Cоздание заказа","Создание заказа авторизованным пользователем, с передачей ингредиентов"
"passed","Thu Oct 05 11:35:39 AST 2023","Thu Oct 05 11:35:39 AST 2023","743","","createUserTests.CreateNormalUserTest","","createUserTests.CreateNormalUserTest","userShouldBeCreatedTest","Cоздание покупателя","Нормальное создание покупателя с заполнением всех полей"
"passed","Thu Oct 05 11:35:38 AST 2023","Thu Oct 05 11:35:39 AST 2023","365","","createOrderTests.NotAuthorizedUserCreateOrderWithIngredientsTest","","createOrderTests.NotAuthorizedUserCreateOrderWithIngredientsTest","orderShouldBeCreated","Cоздание заказа","Создание заказа НЕавторизованным пользователем, с передачей ингредиентов"
"passed","Thu Oct 05 11:35:39 AST 2023","Thu Oct 05 11:35:40 AST 2023","914","","createUserTests.CreateSameUserTest","","createUserTests.CreateSameUserTest","SameUserShouldNotBeCreatedTest","Cоздание покупателя c уже существующими данными","Создание покупателя с данными, зарегистрированными в базе данных"
"passed","Thu Oct 05 11:35:42 AST 2023","Thu Oct 05 11:35:44 AST 2023","2128","","getUserOrdersTests.GetNotAuthorizesdUserOrdersTest","","getUserOrdersTests.GetNotAuthorizesdUserOrdersTest","orderShouldBeCreated","Получение заказов пользователя","Получение заказов неавторизованного пользователя"
"passed","Thu Oct 05 11:35:34 AST 2023","Thu Oct 05 11:35:36 AST 2023","1732","","changeUserDataTests.ChangeUserDataWithNOAuthorizationTest","","changeUserDataTests.ChangeUserDataWithNOAuthorizationTest","notAuthorizedUserDataShouldBeChangedTest","Изменение данных  покупателя","Изменение данных покупателя без авторизации"
